,,PE_RATIO,EV_TO_T12M_EBITDA,INVENT_TURN,EBIT_MARGIN,NET_DEBT_TO_EBITDA,NET_FIX_ASSET_TURN,TRAILING_12M_CASH_FLOW_MARGIN,TRAIL_12M_NET_SALES
587 HK Equity,20121231,2.05224303,1.850011447,12.90499491,56.46747609,-2.596709222,3.847936187,46.47362641,1312.127
17 HK Equity,20121231,5.825083028,8.504172202,0.410220461,45.0279477,3.407635803,0.39652899,-43.21689159,35620.1
729 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,80.075
497 HK Equity,20121231,2.68514845,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1500.081
231 HK Equity,20121231,#N/A N/A,#N/A N/A,9.757489301,-65.66502275,#N/A N/A,0.015240405,#N/A N/A,26.157
445 HK Equity,20121231,#N/A N/A,12.06791789,10.35565832,-0.150647978,-4.834066122,3.561182661,-6.903871861,1249.27
2357 HK Equity,20121231,36.90461917,9.604848197,1.411660829,6.925322821,-2.195123129,3.044214546,-9.765396687,14612.965
1051 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3323 HK Equity,20121231,5.388606185,8.089334679,6.134059641,18.68997312,5.535502643,1.085053202,4.826988345,83437.616
1623 HK Equity,20121231,3.76409658,5.798405607,2.496494357,22.02635908,1.129738775,1.72305165,10.43390144,2001.284
8066 HK Equity,20121231,9.549639024,#N/A N/A,16.38363061,-1.202246315,#N/A N/A,2.742143692,#N/A N/A,138.598387
8356 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,271.885
489 HK Equity,20121231,5.88202464,4.321288047,8.962129641,9.381857814,-1.154477145,5.932200428,5.897167769,135794
410 HK Equity,20121231,3.889666139,8.471428447,0.096980456,92.9715743,1.932791041,0.33008294,-16.87426641,4261.566
